subjek,comment,text_clean,text_normalized,tokens,tokens_no_stop,tokens_stemmed,final_text
Purbaya Yudhi Sadewa,"Ga perlu seperti punyanya sahroni,ya pak. Semuanya  Brandid trilyunan. Tapi otak kyk cek kosong,bisa nya cuma flexing doang. Wkwkwk. Belagu",ga perlu seperti punyanya sahroniya pak semuanya brandid trilyunan tapi otak kyk cek kosongbisa nya cuma flexing doang wkwkwk belagu,tidak perlu seperti punyanya sahroniya bapak semuanya brandid trilyunan tapi otak kyk cek kosongbisa nya cuma flexing doang wkwkwk belagu,"['tidak', 'perlu', 'seperti', 'punyanya', 'sahroniya', 'bapak', 'semuanya', 'brandid', 'trilyunan', 'tapi', 'otak', 'kyk', 'cek', 'kosongbisa', 'nya', 'cuma', 'flexing', 'doang', 'wkwkwk', 'belagu']","['punyanya', 'sahroniya', 'brandid', 'trilyunan', 'otak', 'kyk', 'cek', 'kosongbisa', 'flexing', 'doang', 'wkwkwk', 'belagu']","['punya', 'sahroniya', 'brandid', 'trilyunan', 'otak', 'kyk', 'cek', 'kosongbisa', 'flexing', 'doang', 'wkwkwk', 'belagu']",punya sahroniya brandid trilyunan otak kyk cek kosongbisa flexing doang wkwkwk belagu
Purbaya Yudhi Sadewa,Apa arti FAMILY OFFICE dan manfaatnya lngsung buat rakyat,apa arti family office dan manfaatnya lngsung buat rakyat,apa arti family office dan manfaatnya lngsung buat rakyat,"['apa', 'arti', 'family', 'office', 'dan', 'manfaatnya', 'lngsung', 'buat', 'rakyat']","['arti', 'family', 'office', 'manfaatnya', 'lngsung', 'rakyat']","['arti', 'family', 'office', 'manfaat', 'lngsung', 'rakyat']",arti family office manfaat lngsung rakyat
Purbaya Yudhi Sadewa,MENTERI PURBAYA YUDHI SADEWA SATU TYPE DGN  MA'RIE MUHAMMAD YG CERDAS & SEDERHANA TIDAK MEMANFAATKAN JABATAN MENTERI UNTUK MEMPERKAYA DIRI SENDIRI & KELUARGA UNTUK KORUPSI.,menteri purbaya yudhi sadewa satu type dgn marie muhammad yg cerdas sederhana tidak memanfaatkan jabatan menteri untuk memperkaya diri sendiri keluarga untuk korupsi,menteri purbaya yudhi sadewa satu type dengan marie muhammad yang cerdas sederhana tidak memanfaatkan jabatan menteri untuk memperkaya diri sendiri keluarga untuk korupsi,"['menteri', 'purbaya', 'yudhi', 'sadewa', 'satu', 'type', 'dengan', 'marie', 'muhammad', 'yang', 'cerdas', 'sederhana', 'tidak', 'memanfaatkan', 'jabatan', 'menteri', 'untuk', 'memperkaya', 'diri', 'sendiri', 'keluarga', 'untuk', 'korupsi']","['menteri', 'purbaya', 'yudhi', 'sadewa', 'type', 'marie', 'muhammad', 'cerdas', 'sederhana', 'memanfaatkan', 'jabatan', 'menteri', 'memperkaya', 'keluarga', 'korupsi']","['menteri', 'purbaya', 'yudhi', 'sadewa', 'type', 'marie', 'muhammad', 'cerdas', 'sederhana', 'manfaat', 'jabat', 'menteri', 'kaya', 'keluarga', 'korupsi']",menteri purbaya yudhi sadewa type marie muhammad cerdas sederhana manfaat jabat menteri kaya keluarga korupsi
Purbaya Yudhi Sadewa,"Pak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu  yng mulya benar"" menjalankan Amanah Tuhan orang yng  seperti itu surga tempatnya.Aamiin.",pak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu yng mulya benar menjalankan amanah tuhan orang yng seperti itu surga tempatnyaaamiin,bapak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu yng mulya benar menjalankan amanah tuhan orang yng seperti itu surga tempatnyaaamiin,"['bapak', 'purbaya', 'tidak', 'memikirkan', 'kekayaan', 'dirinya', 'sendiri', 'yang', 'dipikirkan', 'rakyat', 'itu', 'yng', 'mulya', 'benar', 'menjalankan', 'amanah', 'tuhan', 'orang', 'yng', 'seperti', 'itu', 'surga', 'tempatnyaaamiin']","['purbaya', 'memikirkan', 'kekayaan', 'dipikirkan', 'rakyat', 'yng', 'mulya', 'menjalankan', 'amanah', 'tuhan', 'orang', 'yng', 'surga', 'tempatnyaaamiin']","['purbaya', 'pikir', 'kaya', 'pikir', 'rakyat', 'yng', 'mulya', 'jalan', 'amanah', 'tuhan', 'orang', 'yng', 'surga', 'tempatnyaaamiin']",purbaya pikir kaya pikir rakyat yng mulya jalan amanah tuhan orang yng surga tempatnyaaamiin
Purbaya Yudhi Sadewa,Pak Purbaya bukan orang yg suka hal2 mubazier... Gak perlu pk yg milyaran... Kl cm planga plongo doank... 😂 beliau ekonom asli lhooo... 😂❤,pak purbaya bukan orang yg suka hal mubazier gak perlu pk yg milyaran kl cm planga plongo doank 😂 beliau ekonom asli lhooo 😂❤,bapak purbaya bukan orang yang suka hal mubazier tidak perlu pk yang milyaran kl cm planga plongo doank 😂 beliau ekonom asli lhooo 😂❤,"['bapak', 'purbaya', 'bukan', 'orang', 'yang', 'suka', 'hal', 'mubazier', 'tidak', 'perlu', 'pk', 'yang', 'milyaran', 'kl', 'cm', 'planga', 'plongo', 'doank', '😂', 'beliau', 'ekonom', 'asli', 'lhooo', '😂❤']","['purbaya', 'orang', 'suka', 'mubazier', 'milyaran', 'planga', 'plongo', 'doank', 'beliau', 'ekonom', 'asli', 'lhooo']","['purbaya', 'orang', 'suka', 'mubazier', 'milyaran', 'planga', 'plongo', 'doank', 'beliau', 'ekonom', 'asli', 'lhooo']",purbaya orang suka mubazier milyaran planga plongo doank beliau ekonom asli lhooo
Purbaya Yudhi Sadewa,8 juta gaji sya 4 bulan😢,juta gaji sya bulan😢,juta gaji sya bulan😢,"['juta', 'gaji', 'sya', 'bulan😢']","['juta', 'gaji', 'sya', 'bulan😢']","['juta', 'gaji', 'sya', 'bulan']",juta gaji sya bulan
Purbaya Yudhi Sadewa,Ah Tribune beritanya TIDAK BERMUTU !. kebanyakkan HOAX demi rating dan viewers 😂🤣😅😆😁,ah tribune beritanya tidak bermutu kebanyakkan hoax demi rating dan viewers 😂🤣😅😆😁,ah tribune beritanya tidak bermutu kebanyakkan hoax demi rating dan viewers 😂🤣😅😆😁,"['ah', 'tribune', 'beritanya', 'tidak', 'bermutu', 'kebanyakkan', 'hoax', 'demi', 'rating', 'dan', 'viewers', '😂🤣😅😆😁']","['tribune', 'beritanya', 'bermutu', 'kebanyakkan', 'hoax', 'rating', 'viewers', '😂🤣😅😆😁']","['tribune', 'berita', 'mutu', 'banyak', 'hoax', 'rating', 'viewers', '']",tribune berita mutu banyak hoax rating viewers 
Purbaya Yudhi Sadewa,Ngeri jam az di sorot😂😂😂,ngeri jam az di sorot😂😂😂,ngeri jam az di sorot😂😂😂,"['ngeri', 'jam', 'az', 'di', 'sorot😂😂😂']","['ngeri', 'jam', 'sorot😂😂😂']","['ngeri', 'jam', 'sorot']",ngeri jam sorot
Purbaya Yudhi Sadewa,"Presiden Kita bpk Prabowo sangat tepat menunjuk bpk Purbaya sbg MenKu saat ini...Beliau tegas,lugas, tdk ragu2 mengambil sikap untk kebaikan...pokoknya luar biasa dan sangat berpihak pd Rakyat....smg kelak bs menjd Presiden RI,Aamiin.",presiden kita bpk prabowo sangat tepat menunjuk bpk purbaya sbg menku saat inibeliau tegaslugas tdk ragu mengambil sikap untk kebaikanpokoknya luar biasa dan sangat berpihak pd rakyatsmg kelak bs menjd presiden riaamiin,presiden kita bpk prabowo sangat tepat menunjuk bpk purbaya sebagai menku saat inibeliau tegaslugas tdk ragu mengambil sikap untk kebaikanpokoknya luar biasa dan sangat berpihak pd rakyatsmg kelak bs menjd presiden riaamiin,"['presiden', 'kita', 'bpk', 'prabowo', 'sangat', 'tepat', 'menunjuk', 'bpk', 'purbaya', 'sebagai', 'menku', 'saat', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'mengambil', 'sikap', 'untk', 'kebaikanpokoknya', 'luar', 'biasa', 'dan', 'sangat', 'berpihak', 'pd', 'rakyatsmg', 'kelak', 'bs', 'menjd', 'presiden', 'riaamiin']","['presiden', 'bpk', 'prabowo', 'bpk', 'purbaya', 'menku', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'mengambil', 'sikap', 'untk', 'kebaikanpokoknya', 'berpihak', 'rakyatsmg', 'kelak', 'menjd', 'presiden', 'riaamiin']","['presiden', 'bpk', 'prabowo', 'bpk', 'purbaya', 'menku', 'inibeliau', 'tegaslugas', 'tdk', 'ragu', 'ambil', 'sikap', 'untk', 'kebaikanpokoknya', 'pihak', 'rakyatsmg', 'kelak', 'menjd', 'presiden', 'riaamiin']",presiden bpk prabowo bpk purbaya menku inibeliau tegaslugas tdk ragu ambil sikap untk kebaikanpokoknya pihak rakyatsmg kelak menjd presiden riaamiin
Purbaya Yudhi Sadewa,"ah biasa itu.... lama2 juga bakalan berubah jadi iblis.... jangan dibagus2in lah, pejabat baru ini....",ah biasa itu lama juga bakalan berubah jadi iblis jangan dibagusin lah pejabat baru ini,ah biasa itu lama juga bakalan berubah jadi iblis jangan dibagusin lah pejabat baru ini,"['ah', 'biasa', 'itu', 'lama', 'juga', 'bakalan', 'berubah', 'jadi', 'iblis', 'jangan', 'dibagusin', 'lah', 'pejabat', 'baru', 'ini']","['berubah', 'iblis', 'dibagusin', 'pejabat']","['ubah', 'iblis', 'dibagusin', 'jabat']",ubah iblis dibagusin jabat
