subjek,video_id,video_title,author,comment,like_count,published_at
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@KumalaRamadhani-u5t6o,"Ga perlu seperti punyanya sahroni,ya pak. Semuanya  Brandid trilyunan. Tapi otak kyk cek kosong,bisa nya cuma flexing doang. Wkwkwk. Belagu",0,2025-10-19T12:28:44Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@javasuriken-eu6yc,Apa arti FAMILY OFFICE dan manfaatnya lngsung buat rakyat,0,2025-10-14T07:33:24Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@ErmeilusRahman,MENTERI PURBAYA YUDHI SADEWA SATU TYPE DGN  MA'RIE MUHAMMAD YG CERDAS & SEDERHANA TIDAK MEMANFAATKAN JABATAN MENTERI UNTUK MEMPERKAYA DIRI SENDIRI & KELUARGA UNTUK KORUPSI.,0,2025-10-12T01:45:15Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@misanimisani4481,"Pak purbaya tidak memikirkan kekayaan dirinya sendiri yang dipikirkan rakyat itu  yng mulya benar"" menjalankan Amanah Tuhan orang yng  seperti itu surga tempatnya.Aamiin.",0,2025-10-11T22:32:43Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@yettyyuliawati5624,Pak Purbaya bukan orang yg suka hal2 mubazier... Gak perlu pk yg milyaran... Kl cm planga plongo doank... 😂 beliau ekonom asli lhooo... 😂❤,0,2025-10-10T12:05:59Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@Jangkrikaduanponorogo,8 juta gaji sya 4 bulan😢,0,2025-10-09T11:44:57Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@barryj.m1684,Ah Tribune beritanya TIDAK BERMUTU !. kebanyakkan HOAX demi rating dan viewers 😂🤣😅😆😁,0,2025-10-08T15:33:50Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@dedennurdin,Ngeri jam az di sorot😂😂😂,0,2025-10-08T12:40:44Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@sriindahwarni8738,"Presiden Kita bpk Prabowo sangat tepat menunjuk bpk Purbaya sbg MenKu saat ini...Beliau tegas,lugas, tdk ragu2 mengambil sikap untk kebaikan...pokoknya luar biasa dan sangat berpihak pd Rakyat....smg kelak bs menjd Presiden RI,Aamiin.",0,2025-10-07T09:14:48Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@aengmuhidin9866,"ah biasa itu.... lama2 juga bakalan berubah jadi iblis.... jangan dibagus2in lah, pejabat baru ini....",0,2025-09-24T02:43:23Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@BudiSugiharto,"Menteri yang minta dilengserkan oleh mereka yang lagi FOMO dengan pola pikir kolot aki2, dont judge book by the cover",0,2025-09-23T11:26:15Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@PakAcung-c9w,👍👍,0,2025-09-23T07:17:48Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@suratidjoeahir7774,Pak Purbaya fenomenal banget serhana dlm penampilan baik batik dn jamnya namu tetep elegant dg postur tubuh tinggi bsar dg wajah yg sll senyum aden liatnya  walsupun gebraganya mbuat panas dingin  bgi  aparat  yg curang,0,2025-09-22T05:33:11Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@SuastikaMade-b8z,Hidup sederhana berpikir dan bekerja tinggi.,3,2025-09-21T23:39:47Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@lusmawanhartanto6238,"Jam harga 8 juta itu sudah cukup mewah buat sekedar nunjukkan fungsi normal jam, dan design yg ckup bagus sesuai kelasnya, artinya si menkeu pak purbaya tidak mengejar gengsi meski gajinya ckup membeli jam lebioh mahal sebagai mantan pejabat kepala LPS.",3,2025-09-21T16:17:45Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@nenyprimandari3197,Kok dicopot.. enak men... Biar pak Purboyo kerja dulu lihat dan rasakan hasilnya..,0,2025-09-20T15:33:40Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@araara4746,"Asal jangan nanti setelah 1 tahun, lalu tiba-tiba sudah pakai jam tangan ratusan juta hingga miliaran ya?!",0,2025-09-20T08:52:19Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@rudijoko3895,"hidup ini apa seh ? 👍 biasa aja ya pak ?
beliau dibesarkan dari kelas menengah .... bukan dari pinggir kali yang dendam dengan gaya hidup dan norak 😂",0,2025-09-20T04:20:42Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@dheasalon6803,Keren pak Purbaya 😘😘😘👍🥰🎉,0,2025-09-20T04:02:16Z
Purbaya Yudhi Sadewa,rvjRohjJtfg,Gaya Menkeu Purbaya Yudhi Sadewa Pakai Jam Tangan Sederhana Bukan Ratusan juga Bak Pejabat Lain,@KeluargaBundaAli,yg pnting fungsinya.,0,2025-09-19T14:30:07Z
