subjek,final_text,label,status
Sri Mulyani Indrawati,rakyat cape kena pajak makmur pegawai kantor pajak rakyat kompensasi tua negeri lulus negri,negatif,manual
Purbaya Yudhi Sadewa,salut beliau muncul menteri menteri jujur moga lindung allahsaya percaya beliau cerah indonesia,positif,manual
Purbaya Yudhi Sadewa,nilah jabat orang gila jabat,negatif,manual
Sri Mulyani Indrawati,bintang hutang,negatif,manual
Sri Mulyani Indrawati,sri mulyani juru kunci buruk kelola uang periode,negatif,manual
Purbaya Yudhi Sadewa,hambat berantas semangat purbaya bumn kasih contohjd pelopor rakyat dah bosen denger alas bumn slalu rugi,negatif,manual
Sri Mulyani Indrawati,mulyani kontaminasi mulyono,negatif,manual
Sri Mulyani Indrawati,benah internal pajak intesifkan,netral,manual
Purbaya Yudhi Sadewa,walo bagaimna purbaya harap rakyat,positif,manual
Sri Mulyani Indrawati,srimulap kotor rekor bocor anggar kalah orba aku prof sumitro icor kalah orba terang faisal basri skandal century bdni saksi prof rizal ramli dakwa blbi skandal cuci uang kemenkeu data ppatk prof mahfud cuci uang kemenkeu terang prof romli atmasasmita citra menkeu baik dunia berkalikali makelar utang negeri bunga,negatif,manual
Purbaya Yudhi Sadewa,achirnya ahok disingkirkankarena mayoritas koruptor,negatif,manual
Purbaya Yudhi Sadewa,moga nyata kontribusi bangsa negara indonesia,positif,manual
Sri Mulyani Indrawati,era perintah indonesia aparat ikut didik militer tugas gembleng mental nasionalis cinta nkri,positif,manual
Sri Mulyani Indrawati,mantulsmg indonesia nakmur,positif,manual
Sri Mulyani Indrawati,jaga apbn pajak trus belanja negara korupsi gimana trus uang masuk negara hilang jalan gimana trus jabat negara korup gimana negara hancur perintah bobrokbukan rakyat perintah cermin rakyat,negatif,manual
Purbaya Yudhi Sadewa,smoga bpk dlindungi allah swtsenang liat aura wajah bpkbpk orang amanah,positif,manual
Purbaya Yudhi Sadewa,iya prabowo ahli strategi literasinya moga serang oligargi hitam aamiin,negatif,manual
Purbaya Yudhi Sadewa,bismillah yuk sembah doa baik mustajab pimpin memng amanah,positif,manual
Sri Mulyani Indrawati,wanita hebat bumentri bintang wonder women,positif,manual
Purbaya Yudhi Sadewa,menteri bener sibuk pajakin palakin rakyat,negatif,manual
Sri Mulyani Indrawati,sri mulyani ayo hutang rakyat,negatif,manual
Purbaya Yudhi Sadewa,karna masyarakat indo minim literasi mudah kenal pola pikir komentar vidio ikut sampe,negatif,manual
