subjek,final_text,label
Sri Mulyani Indrawati,rakyat cape kena pajak makmur pegawai kantor pajak rakyat kompensasi tua negeri lulus negri,negatif
Purbaya Yudhi Sadewa,salut beliau muncul menteri menteri jujur moga lindung allahsaya percaya beliau cerah indonesia,positif
Purbaya Yudhi Sadewa,nilah jabat orang gila jabat,negatif
Sri Mulyani Indrawati,bintang hutang,negatif
Sri Mulyani Indrawati,sri mulyani juru kunci buruk kelola uang periode,negatif
Purbaya Yudhi Sadewa,hambat berantas semangat purbaya bumn kasih contohjd pelopor rakyat dah bosen denger alas bumn slalu rugi,negatif
Sri Mulyani Indrawati,mulyani kontaminasi mulyono,negatif
Sri Mulyani Indrawati,benah internal pajak intesifkan,netral
Purbaya Yudhi Sadewa,walo bagaimna purbaya harap rakyat,positif
Sri Mulyani Indrawati,srimulap kotor rekor bocor anggar kalah orba aku prof sumitro icor kalah orba terang faisal basri skandal century bdni saksi prof rizal ramli dakwa blbi skandal cuci uang kemenkeu data ppatk prof mahfud cuci uang kemenkeu terang prof romli atmasasmita citra menkeu baik dunia berkalikali makelar utang negeri bunga,negatif
Purbaya Yudhi Sadewa,achirnya ahok disingkirkankarena mayoritas koruptor,negatif
Purbaya Yudhi Sadewa,moga nyata kontribusi bangsa negara indonesia,positif
Sri Mulyani Indrawati,era perintah indonesia aparat ikut didik militer tugas gembleng mental nasionalis cinta nkri,positif
Sri Mulyani Indrawati,mantulsmg indonesia nakmur,positif
Sri Mulyani Indrawati,jaga apbn pajak trus belanja negara korupsi gimana trus uang masuk negara hilang jalan gimana trus jabat negara korup gimana negara hancur perintah bobrokbukan rakyat perintah cermin rakyat,negatif
Purbaya Yudhi Sadewa,smoga bpk dlindungi allah swtsenang liat aura wajah bpkbpk orang amanah,positif
Purbaya Yudhi Sadewa,iya prabowo ahli strategi literasinya moga serang oligargi hitam aamiin,negatif
Purbaya Yudhi Sadewa,bismillah yuk sembah doa baik mustajab pimpin memng amanah,positif
Sri Mulyani Indrawati,wanita hebat bumentri bintang wonder women,positif
Purbaya Yudhi Sadewa,menteri bener sibuk pajakin palakin rakyat,negatif
Sri Mulyani Indrawati,sri mulyani ayo hutang rakyat,negatif
