subjek,final_text,label
Sri Mulyani Indrawati,pajak yaa udah pajak makan koruptor bikin rakyat terima rela gue orang benci koruptor,negatif
Purbaya Yudhi Sadewa,guru gembul cerdas mohon bikin vidio optimis bangga bangsa,positif
Purbaya Yudhi Sadewa,prabowopurbayaamran sulaimankdmhoho alkafnex moga bantu bantu rakyat revolusioner iklas maju bangsa iniamin,positif
Sri Mulyani Indrawati,cepat ambil tindak keluh rakyat negara inibuktikan pimpin amanah rakyat,positif
Sri Mulyani Indrawati,tolong rampas hasil korupsi hukum mati koruptor nyabaru narikin pajaksekarang pajak dinaikin dikorupsiapa nggak kasihan rakyatnyakoplak,negatif
Sri Mulyani Indrawati,berat susah cari uang berat rakyat mana hasil pajak kena pajak makan minum dll pikir,negatif
Sri Mulyani Indrawati,warga dinaikin sing njoged,negatif
Sri Mulyani Indrawati,tuju pajak ppn bayar udakudak putih,negatif
Sri Mulyani Indrawati,mantap keren,positif
Sri Mulyani Indrawati,mending kejar laku korupsi kembali negara uang bangun drpd jalan pintas naik tarif pajak pasti fix sengsara rakyat bangsa,negatif
Sri Mulyani Indrawati,jeng sri jeng sri,netral
Purbaya Yudhi Sadewa,sodor opung luhut gimana,netral
Purbaya Yudhi Sadewa,guru mending ngajar banyak retorika sampean ngga lebih cari cuan sosmed,netral
Purbaya Yudhi Sadewa,tau purbaya ngga duduk kursi sedia,netral
Purbaya Yudhi Sadewa,contoh menteri coboy baikdan cerdas,positif
Sri Mulyani Indrawati,tempo jos,netral
Sri Mulyani Indrawati,sri solusi naik pajak naik buat awas pegawai pajak jujur ahlak hidupnsederhana makan gaji sri mundur,negatif
Purbaya Yudhi Sadewa,biar liat songong gpp jabat gas biar ngerasain gaji guede ketulungan mantap,positif
Sri Mulyani Indrawati,pajak ppn biaya gibran blusukan wapres masuk lorong lorong pasar pos lapor wapres ikhlas jalan blusukan pasar dam menteri kacau doktrin jokowi,negatif
Purbaya Yudhi Sadewa,menkeu humble ramah disamperin disalamin moga lancar amanah emban tugas negara,positif
Sri Mulyani Indrawati,malu baca konten nggak tarik,netral
