date,tokoh,text,clean_text,label,source
2025-11-28T12:34:07Z,Purbaya Yudhi Sadewa,sehat2 bapak presiden ku dan pak menkeu selalu beruntung dan dilindungi TUHAN Aamiin,sehat2 selalu untung lindung tuhan aamiin,positif,manual
2025-08-31T14:36:40Z,Sri Mulyani Indrawati,"Di luar negri lumrah pejabat mundur, di NKRI inginya dipecat baru mundur😊",luar negri lumrah jabat mundur nkri inginya pecat baru mundur,negatif,manual
2025-08-24T03:40:26Z,Sri Mulyani Indrawati,"Pajak rakyat terus ditekan, pajak pengusaha tidak transfaran.",pajak rakyat terus tekan pajak usaha transfaran,negatif,manual
2025-10-13T14:28:26Z,Purbaya Yudhi Sadewa,Pihak2 yang selama ini merasa tdk diawasi dlm penggunaan anggaran sekarang mulai ketar ketir dan berupaya menolak kebijakan Purbaya bagaikan mimpi disiang bolong. Tapi tidak berani berterus terang karena bisa jadi senjata makan tuan dan impian jadi milyarder melayang begitu saja,pihak2 lama rasa awas guna anggar sekarang mulai ketar tir upaya tolak bijak bagai mimpi siang bolong berani terus terang senjata makan tuan impi milyarder layang,netral,manual
2025-12-04T07:29:28Z,Purbaya Yudhi Sadewa,Pemimpin itu laki2,pimpin laki2,netral,manual
2025-12-05T14:12:54Z,Purbaya Yudhi Sadewa,penjahat politik  yg sebenarnya yg takut terganggu kedudukan dan penghasilannya😅😅,jahat politik benar takut ganggu duduk hasil,netral,manual
,Purbaya Yudhi Sadewa,"Kalimat menghabiskan anggaran itu sungguh membuat saya muak.

Pemerintah Daerah  akhirnya membangun atau perbaikan asal-asalan jalan dan membuat macet pada akhir tahun dengan dalih menghabiskan anggaran, ditambah juga dengan diadakannya jalan-jalan yang nggak penting untuk menghabiskan anggaran juga, kerja pada gak becus minta gaji dan tunjangan gede plus gak takut dipecat krn merasa susah utk dipecat... Emang anjinkk kelakuannya...",kalimat habis anggar sungguh buat muak perintah daerah akhir bangun baik asalasalan jalan buat macet akhir tahun dalih habis anggar tambah ada jalanjalan penting habis anggar kerja becus minta gaji tunjang gede plus takut pecat rasa susah pecat memang anjinkk laku,negatif,manual
2025-07-24T23:08:11Z,Sri Mulyani Indrawati,Cuihhhh,cuihhhh,negatif,manual
2025-07-27T09:02:41Z,Sri Mulyani Indrawati,Mana gak ada kenaikan gaji,naik gaji,netral,manual
2025-11-06T02:18:31Z,Sri Mulyani Indrawati,"Napa gak tambah utang kerja sebahagian  gak ada koropsi dimana mana ,,  penghianat negara menguasai di kursi dpr yang kebanyakan tidak  jelas kemampuannya menjadi wakil rakyat",napa tambah utang kerja sebahagian koropsi penghianat negara kuasa kursi dpr banyak jelas mampu jadi wakil rakyat,negatif,manual
,Sri Mulyani Indrawati,"Mundurlah Buu,itu akan terhormat.
Pejabat bungkam,memang pejabat jahat dan kejam!!!! Terhadap rakyat",mundur buuitu hormat jabat bungkammemang jabat jahat kejam rakyat,negatif,manual
2025-10-31T15:19:11Z,Purbaya Yudhi Sadewa,Btl Doktor... Yg terusik Orgnya itu² saja👍👍👍,btl doktor usik orgnya,netral,manual
2025-08-27T19:46:11Z,Sri Mulyani Indrawati,Baca aja gak lancar 😂,baca lancar,negatif,manual
2025-09-30T09:05:10Z,Sri Mulyani Indrawati,Berarti yg edit AI soal Sri Mulyani itu pasti pihak DPRD yg tidak bertanggung jawab,arti edit soal pihak dprd tanggung jawab,negatif,manual
2025-08-14T10:43:27Z,Sri Mulyani Indrawati,Hadits riwayat Bukhari 4425 : “Tidak akan beruntung suatu kaum yang menyerahkan urusan mereka kepada seorang perempuan”,hadits riwayat bukhari 4425 untung kaum serah urus orang perempuan,negatif,manual
2025-07-24T05:14:36Z,Sri Mulyani Indrawati,Puji Tuhan klo gaji naik 200 % unt pensiunan,puji tuhan gaji naik 200 unt pensiun,positif,manual
2025-12-04T12:11:28Z,Purbaya Yudhi Sadewa,Yg dikatakan itu betul krn rakyat yg rasakan padahal mentri sebelum nya itu katanya ini itu pengalamannya padahal hasilnya tdk ada yg ada dia lindungi yg waow aja rakyat cuma diperas 😂😂❤,kata betul rakyat rasa tri kata alam hasil lindung waow rakyat peras,negatif,manual
2025-10-19T16:37:35Z,Sri Mulyani Indrawati,Gak enak dengar cara presentasinya ah asli gak nyaman,enak dengar cara presentasi asli nyaman,negatif,manual
2025-10-25T07:08:34Z,Purbaya Yudhi Sadewa,"Hal sepele aja dipikirin, sehat selalu Pak ❤",sepele dipikirin sehat selalu,positif,manual
2025-08-17T06:09:06Z,Sri Mulyani Indrawati,Pemimpin yang sudah mengatas namakan agama utk menguras harta rakyat nya manusia yang paling jahat karena anda tidak takut akan azab dan dosa dari perkataan dan perbuatanmu,pimpin atas nama agama uras harta rakyat manusia jahat takut azab dosa kata buat,negatif,manual
2025-08-27T05:36:48Z,Sri Mulyani Indrawati,Contoh pejabat pemeras rakyat dengan menggunakan kebijakannya untuk membayar hutang negara,contoh jabat peras rakyat guna bijak bayar hutang negara,negatif,manual
,Purbaya Yudhi Sadewa,"Cawe cawe dari Mentri2 yg ada kepala partai itu apa?bahaya? Kenapa bahaya? 🙄
Pak Purbaya sih orang nya suka bersih2..
Kebersihan adalah sebagian dari Iman..bersih itu sehat😇😊
Biar bersih sehat yah Indonesia bersih dari korupsi dan rakyat sehat dri sisi ekonomi dan kemakmuran.Aamiin..
Semngat Pak Purbaya.. rakyat mendukungmu...",cawe cawe mentri2 kepala partai apabahaya bahaya orang suka bersih2 bersih bagi imanbersih sehat bersih sehat yah indonesia bersih korupsi rakyat sehat dri sisi ekonomi kemakmuranaamiin semngat rakyat dukung,positif,manual
2025-09-01T06:24:19Z,Sri Mulyani Indrawati,Kata y sekolah tinggi tapi klo ngomong kaya orang odgj,sekolah tinggi ngomong kaya orang odgj,negatif,manual
