tokoh,text,label
Purbaya Yudhi Sadewa,sehat2 bapak presiden ku dan pak menkeu selalu beruntung dan dilindungi TUHAN Aamiin,positif
Sri Mulyani Indrawati,"Di luar negri lumrah pejabat mundur, di NKRI inginya dipecat baru mundur😊",negatif
Sri Mulyani Indrawati,"Pajak rakyat terus ditekan, pajak pengusaha tidak transfaran.",negatif
Purbaya Yudhi Sadewa,Pihak2 yang selama ini merasa tdk diawasi dlm penggunaan anggaran sekarang mulai ketar ketir dan berupaya menolak kebijakan Purbaya bagaikan mimpi disiang bolong. Tapi tidak berani berterus terang karena bisa jadi senjata makan tuan dan impian jadi milyarder melayang begitu saja,netral
Purbaya Yudhi Sadewa,Pemimpin itu laki2,netral
Purbaya Yudhi Sadewa,penjahat politik  yg sebenarnya yg takut terganggu kedudukan dan penghasilannya😅😅,netral
Purbaya Yudhi Sadewa,"Kalimat menghabiskan anggaran itu sungguh membuat saya muak.

Pemerintah Daerah  akhirnya membangun atau perbaikan asal-asalan jalan dan membuat macet pada akhir tahun dengan dalih menghabiskan anggaran, ditambah juga dengan diadakannya jalan-jalan yang nggak penting untuk menghabiskan anggaran juga, kerja pada gak becus minta gaji dan tunjangan gede plus gak takut dipecat krn merasa susah utk dipecat... Emang anjinkk kelakuannya...",negatif
Sri Mulyani Indrawati,Cuihhhh,negatif
Sri Mulyani Indrawati,Mana gak ada kenaikan gaji,netral
Sri Mulyani Indrawati,"Napa gak tambah utang kerja sebahagian  gak ada koropsi dimana mana ,,  penghianat negara menguasai di kursi dpr yang kebanyakan tidak  jelas kemampuannya menjadi wakil rakyat",negatif
Sri Mulyani Indrawati,"Mundurlah Buu,itu akan terhormat.
Pejabat bungkam,memang pejabat jahat dan kejam!!!! Terhadap rakyat",negatif
Purbaya Yudhi Sadewa,Btl Doktor... Yg terusik Orgnya itu² saja👍👍👍,netral
Sri Mulyani Indrawati,Baca aja gak lancar 😂,negatif
Sri Mulyani Indrawati,Berarti yg edit AI soal Sri Mulyani itu pasti pihak DPRD yg tidak bertanggung jawab,negatif
Sri Mulyani Indrawati,Hadits riwayat Bukhari 4425 : “Tidak akan beruntung suatu kaum yang menyerahkan urusan mereka kepada seorang perempuan”,negatif
Sri Mulyani Indrawati,Puji Tuhan klo gaji naik 200 % unt pensiunan,positif
Purbaya Yudhi Sadewa,Yg dikatakan itu betul krn rakyat yg rasakan padahal mentri sebelum nya itu katanya ini itu pengalamannya padahal hasilnya tdk ada yg ada dia lindungi yg waow aja rakyat cuma diperas 😂😂❤,negatif
Sri Mulyani Indrawati,Gak enak dengar cara presentasinya ah asli gak nyaman,negatif
Purbaya Yudhi Sadewa,"Hal sepele aja dipikirin, sehat selalu Pak ❤",positif
Sri Mulyani Indrawati,Pemimpin yang sudah mengatas namakan agama utk menguras harta rakyat nya manusia yang paling jahat karena anda tidak takut akan azab dan dosa dari perkataan dan perbuatanmu,negatif
Sri Mulyani Indrawati,Contoh pejabat pemeras rakyat dengan menggunakan kebijakannya untuk membayar hutang negara,negatif
Purbaya Yudhi Sadewa,"Cawe cawe dari Mentri2 yg ada kepala partai itu apa?bahaya? Kenapa bahaya? 🙄
Pak Purbaya sih orang nya suka bersih2..
Kebersihan adalah sebagian dari Iman..bersih itu sehat😇😊
Biar bersih sehat yah Indonesia bersih dari korupsi dan rakyat sehat dri sisi ekonomi dan kemakmuran.Aamiin..
Semngat Pak Purbaya.. rakyat mendukungmu...",positif
Sri Mulyani Indrawati,Kata y sekolah tinggi tapi klo ngomong kaya orang odgj,negatif
Sri Mulyani Indrawati,"terserah negara tetangga yang iri 😂
faktanya 10 tahun terakhir pertumbuhan kita jelas.
semua orang bilang korupsi, tapi fakta di lapangan kita benar-benar tumbuh bersama partner investor kita.
itulah mengapa Singapore, China, Korea dan Japan, tetap percaya kepada kita.
karna bersama kami membangun Indonesia.
jika anda ke Indonesia anda akan melihat.

penjualan Mobil japan yang sukses 
penjualan Smartphone China yang sukses
penjualan produk Korea yang sukses
Shopee dengan Singapore yang sukses.
kami selalu menjaga hubungan baik dengan negara yang membantu kami.
negara seperti Malaysia yang masih iri dan merendahkan Indonesia bermimpi lah produk anda tidak akan pernah di terima masyarakat.
perbaiki sifat anda dahulu baru kita bisa bekerjasama.",positif
Purbaya Yudhi Sadewa,sebenarnya rakyat  indonesia bis😅a tanpa pajak bila tidak ada  korupsi  dan sda kita tidak dikorup j7ga 😢,netral
Sri Mulyani Indrawati,"Orang inilah yg memeras kita dgn pajak yg besar, gaji besar tapi pajak juga besar sehingga sama saja dgn tidak naik gaji",negatif
Purbaya Yudhi Sadewa,KOK MESTI PIKIRANNYA DPR TIDAK PERNAH SEJALAN DENGAN RAKYATNYA ?,negatif
Sri Mulyani Indrawati,Gaji pensiunan pns dong bu jgn lupa 😢 tiap bulan kami kepotong hutang 😢😢😢,netral
Purbaya Yudhi Sadewa,Tenag pak Purbaya bukan anda yg fi kucil kan tapi org 2 munafik itu yg mulai kehilangan arah,netral
Purbaya Yudhi Sadewa,"Saya yakin Mentri Purbaya di dukung rakyat seluruh Indonesia, pejabat yg tidak mendukung perlu di periksa.",positif
Sri Mulyani Indrawati,"Sekarang TNI di benturkan dengan rakyat, ternyata para pejabat bisa menggantikan tuhan asal tuding hari ini rumah dan hartaku harus kamu jaga.
Jangan sampai rusak / hilang, kalau sampai ada kamu akan kami pecat.",negatif
Sri Mulyani Indrawati,Kembalikan pengelolaan SDA ke daerah masing-masing,netral
Purbaya Yudhi Sadewa,Kedatangan pak purbaya bgi orang2 yg dulu suka korop2.,netral
Sri Mulyani Indrawati,"Cepatlah mundur , drpd    nyawa hilang",negatif
Sri Mulyani Indrawati,Dari gerakan bibirnya juga sesuai kok,netral
Sri Mulyani Indrawati,Cabik aja mulut yg sembarang bicara,negatif
Purbaya Yudhi Sadewa,"kalo ada pejabat kepanasan dan ga suka sama pak purbaya dan mau mengulingkan pak purbaya.. kita rakyat, gulingkan balik pejabat yg ingin mengulingkan pak purbaya!! 🔥🔥",negatif
Sri Mulyani Indrawati,Omon omon doang. Gedabrus. 😊,negatif
Purbaya Yudhi Sadewa,"Mantap PURBAYA & ANDI AMRAN ❤️🇮🇩
Alhamdulillah
Alhamdulillah
Alhamdulillah
💚💚💚💚💚💚💚",positif
Purbaya Yudhi Sadewa,"Menteri kewangan terbaik sepanjang sejarah Indonesia, tranferran - profesional dan apa adanya gk menutup'nutupi, teruskan pk purbaya 'cantas semua anggaran yg mencurigakan, buatkan seluruh wni kartu ATM semua",positif
Sri Mulyani Indrawati,JIKA BELUM ADA KONFIRMASI DARI YBS ... KAMI MASIH TETAP TANDA TANYA....,netral
Purbaya Yudhi Sadewa,"Tampaknya pak Purbaya tulus untuk rakyat, sedangkan pak Dedi Mulyadi masih diragukan ketulusannya.",positif
Purbaya Yudhi Sadewa,Ketua BI harus diganti,netral
Purbaya Yudhi Sadewa,srimulat adalah firaun sesungguhnya...adili,negatif
Sri Mulyani Indrawati,Anjing rampok berkedok pejabat,negatif
Purbaya Yudhi Sadewa,"Menghemat Biyaya 😂😂😂😂

Kalau Mau Menghemat Tidak Usah Libatkan Pajak Masyarakat Bayar Utang Wuss",negatif
Sri Mulyani Indrawati,Si Mulyani ikutan edan,negatif
Purbaya Yudhi Sadewa,Udah kepastian grombolan mpembohonh sikorup sipenjahat gak suka kepada mertri Purbaya maju terus pantang mundur demi rakyat semoga BPK Purbaya sehat selalu panjang umurnya yg barokah dilindungi Alloh SWT insaaloh doa rakyat untuk BPK Mentri Purbaya makasih klo perlu habisin tikus tikus,positif
Purbaya Yudhi Sadewa,mentri terbaik negaraku pak purbaya  kaya bersama pak menkeu Aamiin,positif
Sri Mulyani Indrawati,kejar dan tangkap atuh pembuat deepfake,negatif
Sri Mulyani Indrawati,Prestasi Sri Mulyani : 1. Jadi calo utang luar negri sekaligus menjadi antek asing dalam mendikte Indonesia agar mematuhi perjanjian utangnya yg merugikan Indonesia. 2. Mampajaki (memeras) rakyat dengan ancaman denda pajak dan cukai2nya yg membebani keuangan rakyat yg semakin miskin dan makan tabungan. Bravo ?,negatif
Purbaya Yudhi Sadewa,Sudah waktunya opung dkk taat pd aturan,netral
Purbaya Yudhi Sadewa,"Kita harus lindungi pak Purbaya, kalo sampe pak Purbaya ada yang mengancam ,SUDAH TUGAS KITA SEBAGAI RAKYAT INDONESIA BERSATU",positif
Sri Mulyani Indrawati,"Bongkar,, byk yg suka jalan tikus tersembunyi...",negatif
Sri Mulyani Indrawati,Sri Mulyani sok pinter padahal pengkianat  terkorop,negatif
Purbaya Yudhi Sadewa,"Sejak dulu, orang sdh pada tahu, namanya beacukai. Wilayah sangat basah",negatif
Purbaya Yudhi Sadewa,Luar biasa memang anggota dewan kita,negatif
Purbaya Yudhi Sadewa,Kalau pak Pur diturunkan. Rakyat pasti demo,netral
Sri Mulyani Indrawati,Dia SDH TDK peka,negatif
Purbaya Yudhi Sadewa,Globalisasi yg sangat mempengaruhi gen z...😢,netral
Purbaya Yudhi Sadewa,Pantang mengarah maju terus pak,positif
Purbaya Yudhi Sadewa,Siapa dulu yang ngidolain Sri Mulyani?? Nyesel kan loe. Untung gw ga pernah 🤣,negatif
Purbaya Yudhi Sadewa,"C opung , suka di singgung pak presiden , tak perduli mantan jendral atau siapa pun , aku beres kan.

Kode sama C opung mundur mundur sebelum di sikat oleh presiden .",netral
Sri Mulyani Indrawati,Sri mulyono sudah nenek²..jadi wajar aja klo tolol lagi..sebentar lg juga dipanggil sang kuasa.,negatif
Purbaya Yudhi Sadewa,"""Memang selama ini kita ga becus.""

Maksudnya tuh menteri sebelumnya kalik ya😂",negatif
Sri Mulyani Indrawati,Maunya dia rakyat bodoh terus 😂,negatif
Sri Mulyani Indrawati,"Muhasabah diri, kenapa terjadi pada dirimu bu menkeu... 😢",negatif
Sri Mulyani Indrawati,Jangan dijagain pak. Kita lagi melaksanakan RUU Perampasan Aset.,netral
Sri Mulyani Indrawati,Sri Mulyani korupsi,negatif
Purbaya Yudhi Sadewa,KOAR KOAR TOK,negatif
