text,tokoh,date
"Lagi lagi asiknya bernegara saat ini, presidennya mantap.tapi sayang bencana bertubi² menimpa negeri ini😔",Purbaya Yudhi Sadewa,2025-12-06T03:26:02Z
"mantap pak semoga bapak tetap istiqomah, rakyat sudah bisa menilai, kl bapak benar rakyat pasti di belakang bapak.",Purbaya Yudhi Sadewa,2025-12-06T02:44:20Z
"mentri sebelum pak Purbaya seolah tidak peduli bangsa nya, apakah antek asing ?",Purbaya Yudhi Sadewa,2025-12-06T02:34:10Z
"Tlg semua masyarakat terutama para awak media mari mata kita jgn lepas mengawasi kearah pak purbaya jika ada apa"" dgn pak pur kita tau keadaannya",Purbaya Yudhi Sadewa,2025-12-06T02:14:15Z
seri muliani dan luhut wajib di tangkap.. biang hancur nya ekonomi indonesia,Purbaya Yudhi Sadewa,2025-12-06T01:22:01Z
jengkel kali kuliat seri muliani....,Purbaya Yudhi Sadewa,2025-12-06T01:18:05Z
"Kalau hanya takut kepada Alloh In Syaa Alloh selamat dan makmur negeri ini 
Tapi kalau takut sama pengusaha, pejabat hancur dah negeri ini",Purbaya Yudhi Sadewa,2025-12-06T00:39:55Z
"Kebijakan pasti salah semua masa semua mau dipajakin dan yg terakhir pedagang eceran mau dipajak juga, anak buah rafael alun korupsi 1T masa gak tahu terus ga mungkin korupsi sendiri belum lagi geng harley jgn pamer pamer, terakhir gaji dpr naik sedangkan gaji guru beban negara",Purbaya Yudhi Sadewa,2025-12-06T00:22:22Z
Yg BENER hanya si purbaya???😂😂😂😂😂😂😂,Purbaya Yudhi Sadewa,2025-12-05T23:25:38Z
"Lihat dulu hasilnya bagaimana, masih terlalu dini untuk memuji. Kalau memang hasilnya ekonomi  tumbuh membaik dan dirasakan oleh rakyat mk angkat topi setinggi2nya.",Purbaya Yudhi Sadewa,2025-12-05T22:52:47Z
Pak pur jauh dari menteri sebelumnya ❤❤,Purbaya Yudhi Sadewa,2025-12-05T14:49:22Z
"Sri mulyani hrs diusut, dn diadili. Bila trbukti bsalah besar, maka hrs dimiskinkan, dihukum.maksimal (penjara seumur hidup atau.mati).",Purbaya Yudhi Sadewa,2025-12-05T14:36:52Z
Mmng betul dia bu sri pelindung ank buah yg msalh alsan ini org say sdh say Didik. Cuma salh peegaulan akhiry ikutan tpi gk rela di tangkap.,Purbaya Yudhi Sadewa,2025-12-05T13:22:02Z
"Ya ALLAH Pak Purbaya sy cuma berharap gaji rapel pensiunan keluar sebesar 12 persen keluar Krn uang itu utk bayar kontrakan rmh & ini sudah telat bayar pemilik rmh SDH menagih , uang gaji sy tersisa 480.000 Krn SDH dipotong hutang bank EKA, sy sampai sedih utk byr kontrakan rmh sebesar 6 JT / thn ,tlng sy pak Purbaya u/ byr sewa rmh .",Purbaya Yudhi Sadewa,2025-12-05T12:36:07Z
"Ciri2 buzzer, dikit2 komen termul, padahal ga nyambung, dan sebenarnya dia sendiri cuma babu anggota Ormas pdi",Purbaya Yudhi Sadewa,2025-12-05T12:22:15Z
Ibu Sri mungkin kong xkong sama ank buahnya x,Purbaya Yudhi Sadewa,2025-12-05T11:52:49Z
sami mawon 😇😇😇😇😇😇😇,Purbaya Yudhi Sadewa,2025-12-05T11:33:22Z
"Contoh KL jabatan di pegang org yg ga kompeten dan bkn ahli di bidangnya,,,ancurrr yg ada.
Indonesia pemangku jabatan bkn karena prestasi ahli dibidangnya..sistem gerbong..Lokomotiv didepan kebelakang orang titipan mau pun relasi",Purbaya Yudhi Sadewa,2025-12-05T11:04:27Z
Bukti puluhan tahun indonesia dititipin sales imf. Hobi ngutang naikin pajak. Siapa lagi kalo bukan srimulat,Purbaya Yudhi Sadewa,2025-12-05T11:03:13Z
"INGAT BOZ "" PARA PENDUSTA "" AKAN MENERIMA AZAB YG PEDIH DARI ALLAH SWT. LAKNATULLAH... PARA PENSIUNAN PNS SEKARAT, HIDUP SEGAN MATI TAK MAU..",Purbaya Yudhi Sadewa,2025-12-05T09:00:43Z
SEHAT SELALU PAK PUR......,Purbaya Yudhi Sadewa,2025-12-05T07:35:33Z
"Ketahuan nih ye, Sri mulyani
Hahahaaaaaaaaaaaaaaaaaa",Purbaya Yudhi Sadewa,2025-12-05T07:17:22Z
Byk org cerdas di Indonesia jadi dungu kalo di hadapan 9 naga yg berduit...jadi dungu...kalo punya kepentingan...,Purbaya Yudhi Sadewa,2025-12-05T06:13:35Z
Kondisi keuangan RI jaman srimulyani disetir sama Mulyono dibagi2 ke BUMN2 bekal nyapres 3 periode,Purbaya Yudhi Sadewa,2025-12-05T05:33:08Z
"Yg saya inget dari Menkeu sebelumnya cuma defisit, utang, beban negara. Menkeu sekarang banyak jelasin tentang ekonomi yg bikin saya tertarik dan ngerti pelan-pelan.",Purbaya Yudhi Sadewa,2025-12-05T03:50:41Z
Gaya Lo pak Purbaya gokill😀👏👏,Purbaya Yudhi Sadewa,2025-12-05T03:34:56Z
"Hebat pak Purbaya,gokill Menkeu ya pintar skali😀👏👏",Purbaya Yudhi Sadewa,2025-12-05T03:28:54Z
