text,tokoh,date,video_title,channel_name,author,text_clean,prediksi_label_raw,score_keyakinan,label_final
Pembantu mu banyak yg rusak paak,Purbaya Yudhi Sadewa,2025-12-16T19:20:52Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@KofiatulJannah-os2do,pembantu mu banyak yg rusak paak,negative,0.9993694424629211,Negatif
Ia pa benar pasl 33 skarang pengusaha suasta smisal pT mempersulit kau lelaki sehingga pengangguran lki lki lebih byak dan yg dislhkan menyudutkan pemerintah.,Purbaya Yudhi Sadewa,2025-12-16T19:17:40Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@TubagusIriana-i6u,ia pa benar pasl skarang pengusaha suasta smisal pt mempersulit kau lelaki sehingga pengangguran lki lki lebih byak dan yg dislhkan menyudutkan pemerintah,negative,0.9994718432426453,Negatif
"Jangan Angguk angguk aja, Mentri Kehutanan,Lihat Rakyat Aceh Pada Nangis semua",Purbaya Yudhi Sadewa,2025-12-16T18:56:13Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@Adria.Entertaiment,jangan angguk angguk aja mentri kehutanan lihat rakyat aceh pada nangis semua,negative,0.9993651509284973,Negatif
Susah di pecat kalau menterinya ketum parpol,Purbaya Yudhi Sadewa,2025-12-16T18:44:40Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@basarunprasetiyo929,susah di pecat kalau menterinya ketum parpol,negative,0.9965159893035889,Negatif
Kerusakan lingkungan tidak akan terjadi kalau penegak hukum menegakkan hukum.Tapi kalau penegak hukum main mata mereka harus bertanggung jawab.tak mampu menjawaydan mengatasi harus dipecat,Purbaya Yudhi Sadewa,2025-12-16T18:38:36Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@ya_udahlah,kerusakan lingkungan tidak akan terjadi kalau penegak hukum menegakkan hukum tapi kalau penegak hukum main mata mereka harus bertanggung jawab tak mampu menjawaydan mengatasi harus dipecat,negative,0.9990330934524536,Negatif
Menteri nakal di piara,Purbaya Yudhi Sadewa,2025-12-16T18:36:31Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@wahidinariansyah576,menteri nakal di piara,negative,0.9993047714233398,Negatif
Fakta nya masih di nikmati oleh kaum kaum elit. Rakyat masih banyak sekali menderita walau ada program progam yg membantu rakyat fakta nya di korup dll,Purbaya Yudhi Sadewa,2025-12-16T18:35:19Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@HanfaiInfinx,fakta nya masih di nikmati oleh kaum kaum elit rakyat masih banyak sekali menderita walau ada program progam yg membantu rakyat fakta nya di korup dll,negative,0.999427318572998,Negatif
"Wkwkwk  jangankan menterinya, elu sendiri aja lambat banget kyk kura2",Purbaya Yudhi Sadewa,2025-12-16T18:03:31Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@GeraldDias-o6g,wkwkwk jangankan menterinya elu sendiri aja lambat banget kyk kura,negative,0.9991081357002258,Negatif
Copot saja menteri yang lemot,Purbaya Yudhi Sadewa,2025-12-16T17:44:05Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@djamsbon454,copot saja menteri yang lemot,negative,0.9991157650947571,Negatif
TUYUL IRENG BAHLIL ngapain duduk disana bareng menteri2? 🤣🤣🤣🤣🤣🤣,Purbaya Yudhi Sadewa,2025-12-16T17:43:56Z,Prabowo Terima Laporan dari Menkeu Purbaya Ada Menteri Kurang Cepat Bergerak,KOMPASTV,@YUBI102,tuyul ireng bahlil ngapain duduk disana bareng menteri,neutral,0.9972373247146606,Netral
